Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-04-04,Lucky Number Slevin,2006,https://boxd.it/2IOL4h,2.5,,,2022-04-02
2022-04-10,Everything Everywhere All at Once,2022,https://boxd.it/2JZtkn,5,,,2022-04-09
2022-04-12,Akira,1988,https://boxd.it/2KmZpZ,4,,,2022-04-11
2022-04-15,Blow Out,1981,https://boxd.it/2KR37l,3,,,2022-04-14
2022-04-17,Donnie Darko,2001,https://boxd.it/2L89LZ,3,,,2022-04-15
2022-04-18,Captain Fantastic,2016,https://boxd.it/2Lnkfb,2.5,,,2022-04-16
2022-04-18,Everything Everywhere All at Once,2022,https://boxd.it/2Lu7Xj,5,Yes,,2022-04-17
2022-04-23,The Player,1992,https://boxd.it/2MekIX,4,,,2022-04-20
2022-04-30,mother!,2017,https://boxd.it/2NxuuX,4,,,2022-04-29
2022-05-02,Everything Everywhere All at Once,2022,https://boxd.it/2NWGYl,5,Yes,,2022-04-30
2022-05-06,Investigation of a Citizen Above Suspicion,1970,https://boxd.it/2OxWq9,4,,,2022-05-04
2022-05-06,The Northman,2022,https://boxd.it/2OAeud,3.5,,,2022-05-05
2022-05-14,Petite Maman,2021,https://boxd.it/2Q2vyV,2.5,,,2022-05-12
2022-05-16,The Handmaiden,2016,https://boxd.it/2QjU6B,5,Yes,,2022-05-14
2022-05-16,Ponyo,2008,https://boxd.it/2QohPn,3,Yes,,2022-05-15
2022-05-16,Eyes Without a Face,1960,https://boxd.it/2QqwOD,2.5,,,2022-05-15
2022-05-19,Groundhog Day,1993,https://boxd.it/2QUKIz,3.5,Yes,,2022-05-17
2022-05-19,Apocalypse Now,1979,https://boxd.it/2QVXdV,5,,,2022-05-18
2022-05-20,The White Ribbon,2009,https://boxd.it/2R5ABb,3.5,,,2022-05-19
2022-05-22,All About Eve,1950,https://boxd.it/2RlDcb,3.5,,,2022-05-20
2022-05-23,The Salesman,2016,https://boxd.it/2RKmsV,4,,,2022-05-22
2022-05-24,Breathless,1960,https://boxd.it/2RVw8D,4,,,2022-05-23
2022-05-26,Life Itself,2014,https://boxd.it/2SgOJT,2.5,,,2022-05-25
2022-05-31,The Red Shoes,1948,https://boxd.it/2T8I9N,4.5,,,2022-05-30
2022-06-01,Lost in Translation,2003,https://boxd.it/2TiGzp,2,,,2022-05-31
2022-06-02,L.A. Confidential,1997,https://boxd.it/2Tsgid,3,,,2022-06-01
2022-06-05,The Devil Wears Prada,2006,https://boxd.it/2TYBUh,2,,,2022-06-04
2022-06-06,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2Uccl5,4,,,2022-06-05
2022-06-07,She's Gotta Have It,1986,https://boxd.it/2Un7vV,4,,,2022-06-06
2022-06-08,Perfect Blue,1997,https://boxd.it/2UxPSJ,4,Yes,,2022-06-07
2022-06-09,Princess Mononoke,1997,https://boxd.it/2UG3f3,4,Yes,,2022-06-08
2022-06-10,Everything Everywhere All at Once,2022,https://boxd.it/2URr7J,5,Yes,,2022-06-09
2022-06-11,The Sixth Sense,1999,https://boxd.it/2V0OQv,3.5,,,2022-06-10
2022-06-13,Fallen Angels,1995,https://boxd.it/2Vr2sf,3.5,,,2022-06-12
2022-06-14,Burn After Reading,2008,https://boxd.it/2VCcPl,4.5,,,2022-06-13
2022-06-15,Days of Heaven,1978,https://boxd.it/2VMzgD,4,,,2022-06-14
2022-06-17,The Twilight Saga: Eclipse,2010,https://boxd.it/2W7y7x,1,,,2022-06-16
2022-06-19,28 Days Later,2002,https://boxd.it/2WmY2X,4,,,2022-06-18
2022-06-19,Coherence,2013,https://boxd.it/2Wumsz,3,,,2022-06-18
