Date,Name,Year,Letterboxd URI
2021-06-20,Saving Private Ryan,1998,https://boxd.it/29ro
2021-06-22,Mean Girls,2004,https://boxd.it/1VNg
2021-07-03,Rushmore,1998,https://boxd.it/1TAO
2021-07-05,Exit Through the Gift Shop,2010,https://boxd.it/13E0
2021-07-09,Prisoners,2013,https://boxd.it/4E5i
2021-07-10,Seven Samurai,1954,https://boxd.it/2axi
2021-07-11,Zodiac,2007,https://boxd.it/27MO
2021-07-12,Thief,1981,https://boxd.it/1TEc
2021-07-13,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2021-07-15,She's All That,1999,https://boxd.it/1Wz0
2021-07-17,Climax,2018,https://boxd.it/ikvo
2021-07-20,The Piano Teacher,2001,https://boxd.it/2886
2021-07-21,Upstream Color,2013,https://boxd.it/4Cwc
2021-07-22,Before Midnight,2013,https://boxd.it/4ive
2021-07-24,F for Fake,1973,https://boxd.it/VxA
2021-07-26,La La Land,2016,https://boxd.it/a5fa
2021-07-27,The 400 Blows,1959,https://boxd.it/2b1C
2021-07-28,Badlands,1973,https://boxd.it/25Fm
2021-07-31,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2021-08-01,House,1977,https://boxd.it/1vsm
2021-08-02,What We Do in the Shadows,2014,https://boxd.it/7eQy
2021-08-03,Boogie Nights,1997,https://boxd.it/23um
2021-08-04,The Green Knight,2021,https://boxd.it/kuy2
2021-08-05,A Single Man,2009,https://boxd.it/1dx4
2021-08-06,Platoon,1986,https://boxd.it/29BS
2021-08-07,Beverly Hills Cop,1984,https://boxd.it/2baE
2021-08-10,Now You See Me,2013,https://boxd.it/2Bsu
2021-08-11,Split,2016,https://boxd.it/dgSy
2021-08-12,Mulholland Drive,2001,https://boxd.it/297o
2021-08-13,The Suicide Squad,2021,https://boxd.it/fw6O
2021-08-17,The Green Mile,1999,https://boxd.it/2agG
2021-08-23,F9,2021,https://boxd.it/dqsU
2021-09-05,Casino,1995,https://boxd.it/2ads
2021-09-06,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-09-14,Eraserhead,1977,https://boxd.it/299u
2021-09-30,Polytechnique,2009,https://boxd.it/1AMG
2021-10-01,Incendies,2010,https://boxd.it/Msm
2021-10-02,Elephant,2003,https://boxd.it/287i
